condition,operation,value,accuracy,auroc,f1,count,threshold,auroc_logits,tp,tn,fp,fn,ai_recall,real_recall,precision,false_positive_rate,balanced_accuracy
clean,clean,,0.822267177227079,0.9949616055853531,0.8384766907419566,13841,0.5,0.9949616055853531,6385,4996,2,2458,0.7220400316634626,0.9995998399359743,0.9996868639423829,0.00040016006402561027,0.8608199357997185
clean,clean,,0.8251571418250127,0.9949616055853531,0.8415193189259987,13841,0.3,0.9949616055853531,6425,4996,2,2418,0.7265633834671491,0.9995998399359743,0.9996888128209118,0.00040016006402561027,0.8630816117015617
clean,clean,,0.8310093201358283,0.9949616055853531,0.8476320760862485,13841,0.1,0.9949616055853531,6506,4996,2,2337,0.7357231708696144,0.9995998399359743,0.9996926859250154,0.00040016006402561027,0.8676615054027943
clean,clean,,0.8376562387110758,0.9949616055853531,0.8544971831897947,13841,0.01,0.9949616055853531,6598,4996,2,2245,0.7461268800180934,0.9995998399359743,0.9996969696969698,0.00040016006402561027,0.8728633599770339
clean,clean,,0.847626616573947,0.9949616055853531,0.8646602066354361,13841,0.001,0.9949616055853531,6737,4995,3,2106,0.7618455275359041,0.9993997599039616,0.9995548961424332,0.0006002400960384153,0.8806226437199328
clean,clean,,0.8753702767141103,0.9949616055853531,0.8920052588743504,13841,0.0001,0.9949616055853531,7124,4992,6,1719,0.8056089562365712,0.9987995198079231,0.9991584852734923,0.0012004801920768306,0.9022042380222473
clean,clean,,0.9461744093634853,0.9949616055853531,0.9562202503378974,13841,1e-05,0.9949616055853531,8136,4960,38,707,0.9200497568698406,0.9923969587835134,0.9953511132860289,0.007603041216486595,0.956223357826677
clean,clean,,0.9654649230546926,0.9949616055853531,0.9725129384703852,13841,5e-06,0.9949616055853531,8456,4907,91,387,0.9562365712993328,0.9817927170868347,0.9893529893529893,0.018207282913165267,0.9690146441930838
clean,clean,,0.8163427498013149,0.9949616055853531,0.8742704520724107,13841,1e-06,0.9949616055853531,8838,2461,2537,5,0.9994345810245392,0.4923969587835134,0.776967032967033,0.5076030412164866,0.7459157699040263
clean,clean,,0.6388989234881872,0.9949616055853531,0.7796684888026802,13841,1e-08,0.9949616055853531,8843,0,4998,0,1.0,0.0,0.6388989234881872,1.0,0.5
clean,clean,,0.6388989234881872,0.9949616055853531,0.7796684888026802,13841,1e-10,0.9949616055853531,8843,0,4998,0,1.0,0.0,0.6388989234881872,1.0,0.5
jpeg_q90,jpeg,90,0.8226284228018207,0.996486800080204,0.8388155735014116,13841,0.5,0.9964868000802041,6388,4998,0,2455,0.7223792830487391,1.0,1.0,0.0,0.8611896415243696
jpeg_q90,jpeg,90,0.8260241312043928,0.996486800080204,0.8423877470873151,13841,0.3,0.9964868000802041,6435,4998,0,2408,0.7276942214180708,1.0,1.0,0.0,0.8638471107090354
jpeg_q90,jpeg,90,0.830720323676035,0.996486800080204,0.847291924656195,13841,0.1,0.9964868000802041,6500,4998,0,2343,0.7350446680990614,1.0,1.0,0.0,0.8675223340495307
jpeg_q90,jpeg,90,0.8377284878260242,0.996486800080204,0.8545336787564767,13841,0.01,0.9964868000802041,6597,4998,0,2246,0.7460137962230012,1.0,1.0,0.0,0.8730068981115007
jpeg_q90,jpeg,90,0.8474821183440503,0.996486800080204,0.86446227929374,13841,0.001,0.9964868000802041,6732,4998,0,2111,0.7612801085604433,1.0,1.0,0.0,0.8806400542802216
jpeg_q90,jpeg,90,0.8748645329094719,0.996486800080204,0.8914378839162592,13841,0.0001,0.9964868000802041,7111,4998,0,1732,0.8041388669003732,1.0,1.0,0.0,0.9020694334501866
jpeg_q90,jpeg,90,0.9473303952026587,0.996486800080204,0.957125213197671,13841,1e-05,0.9964868000802041,8137,4975,23,706,0.9201628406649327,0.9953981592637055,0.9971813725490196,0.004601840736294518,0.9577804999643191
jpeg_q90,jpeg,90,0.9677046456180912,0.996486800080204,0.9742259124718907,13841,5e-06,0.9964868000802041,8448,4946,52,395,0.9553319009385955,0.9895958383353342,0.9938823529411764,0.010404161664665866,0.9724638696369649
jpeg_q90,jpeg,90,0.8306480745610866,0.996486800080204,0.8829170829170829,13841,1e-06,0.9964868000802041,8838,2659,2339,5,0.9994345810245392,0.5320128051220488,0.7907309653753243,0.4679871948779512,0.765723693073294
jpeg_q90,jpeg,90,0.6388989234881872,0.996486800080204,0.7796684888026802,13841,1e-08,0.9964868000802041,8843,0,4998,0,1.0,0.0,0.6388989234881872,1.0,0.5
jpeg_q90,jpeg,90,0.6388989234881872,0.996486800080204,0.7796684888026802,13841,1e-10,0.9964868000802041,8843,0,4998,0,1.0,0.0,0.6388989234881872,1.0,0.5
jpeg_q70,jpeg,70,0.8058666281338054,0.9972301144816176,0.8208547236482432,13841,0.5,0.9972301144816176,6156,4998,0,2687,0.6961438425873573,1.0,1.0,0.0,0.8480719212936787
jpeg_q70,jpeg,70,0.8080341015822556,0.9972301144816176,0.8232084636369685,13841,0.3,0.9972301144816176,6186,4998,0,2657,0.6995363564401221,1.0,1.0,0.0,0.849768178220061
jpeg_q70,jpeg,70,0.8148255183873998,0.9972301144816176,0.8305230443695034,13841,0.1,0.9972301144816176,6280,4998,0,2563,0.7101662331787855,1.0,1.0,0.0,0.8550831165893927
jpeg_q70,jpeg,70,0.8256628856296511,0.9972301144816176,0.8420087736528514,13841,0.01,0.9972301144816176,6430,4998,0,2413,0.72712880244261,1.0,1.0,0.0,0.8635644012213051
jpeg_q70,jpeg,70,0.836428003756954,0.9972301144816176,0.8531967319413825,13841,0.001,0.9972301144816176,6579,4998,0,2264,0.7439782879113424,1.0,1.0,0.0,0.8719891439556712
